name,rating,text,positive
Somerset trail,5,Nice moderately difficult hike. There are some nice views at the lookout but the sounds of the birds and the forest itself is beautiful throughout the hike. Theres no steep incline or decline and no rock scrambling.,True
Somerset trail,5,This was our first decent length trail and it was very enjoyable. The views were great and there were plenty of birds to spot enroute. Was about 15k all in and took us around 4 hours to walk. Easy to follow and well worth it.,True
Kaiserstuhl Conservation Park,5,"Fantastic place to hike, not too hilly. Lots of flora and fauna to observe and enjoy",True
Kaiserstuhl Conservation Park,5,"Fantastic place for hiking and Mountain biking!!!! 🚵 been coming here for 5 years, it’s always amazing and always something fantastic to see and 👂 hear! Stop and sit listen and look to see and hear the sounds of nature!! The look out is incredible. AAA+++",True
Kaiserstuhl Conservation Park,4,Nice walk but is a bit overgrown in some areas. Like to walk up to the lookouts. Went back for another walk and did the Stringybark track. Really enjoyed it and well signposted.,False
Kaiserstuhl Conservation Park,5,Great spot  - nice easy walk through the woods. We were lucky enough that an echidna was foraging as we walked out. Good diversity of birds too. Definitely worth dropping into for a short walk if you are in the area,True
Kaiserstuhl Conservation Park,5,Even the short Stringybark Walk is well worth stopping for a real sample of diverse local forests and flora. Such diversity in a small area!,True
Point Arkwright Trail,5,"Nice walk - up and down - lots of roots - some places narrow - outlook platforms - magnificent views - people can watch for dolphins, turtels - even whales at the right season - spotting a lot of other birds as well - it is nice to spend a couple of ours here. A Picnic table at a couple of outlook spots. First there - first claim!!!!",True
Point Arkwright Trail,5,Lovely & scenic walk. The bike trail heads along parallel to the bush track,True
Point Arkwright Trail,5,"I love the spot. The path between the lookout and the picnic area is wide and well maintained. If you're after a longer walk, you can follow the tracks along the coast line into Coolum. The view is great. Great spot for seeing turtles.",True
Point Arkwright Trail,5,Nice little walk and great point of view. We could see turtles in the water from the lookouts. Plenty of parkings along the street.,True
Point Arkwright Trail,5,"This Is An Incredible Pathway Hugging Out The Noosa Coastline.
It’s Absolutely Breathtaking.
A Definite Walk You Should Do When In Noosa.
Devils Lookout.
Highly Recommend.
Wear Comfy Footwear For This Walk Your Feet Will Thank You.",True
Plenty River Trail,5,This is the area near the old pipe bridge. Great place for a long walk.,True
Plenty River Trail,5,"Beautiful walkway,  surrounded by horse training fields, and sound of nature ( we'll, mainly cockatoos). Nice and quiet specially in the afternoon close to sunset. One of the best places I've ever been in a populated areas.",True
Plenty River Trail,5,It's very calm with lots of parrots and horses. Specially when sky is cloudy in the evening.,True
Plenty River Trail,5,"A great walk through nature so close to Suburbia, yet you feel you are in the bush, with wildlife such as kangaroos,  multitude of bird life.  Appreciate what we have so close to home.",True
Plenty River Trail,4,"Walk a regular rout twice a day. Wish some dog owners would pick up after their dogs. We pick up the really gross droppings, also pick up fadt food wrappings, bottlrs and cans
Apart from that a great walk.",False
You Yangs Regional Park,5,"A great hiking spot, there is a range of trailer- harder and easier options. I saw a lot of dogs here- easy to take on a short trail but much harder when you get to the steeper rockier sections- you might have to carry them! Make sure you look out for bunjil the eagle when you’re up high. There is also some wildlife around so make sure your dog is on a lead- we saw an echidna!!",True
You Yangs Regional Park,5,"A beautiful park with many trails. We did the Flinders Peak walk and it took about 1 & 1/2 hrs for us to finish this as we went with our kids. There are so many steps in the Flinders Peak walk with beautiful view points on the way. There are also some benches to have some rest on your way to the top.
The view is breathtaking. A must do trail.",True
You Yangs Regional Park,5,"Located just 30 minutes from Geelong, this family-friendly hiking destination is one of nature's gems. It's a perfect spot for outdoor enthusiasts of all ages.

The area offers several hiking tracks, each with its own unique features. Whether you choose a single trail or explore them all, you're in for a treat. Upon arrival, you'll find an information center on the left, equipped with restrooms and helpful maps to guide your adventure.

This location is also popular for family barbecues and picnics. The well-maintained facilities and scenic surroundings make it an ideal spot for a day out with loved ones. However, be sure to bring a warm coat if you're visiting in winter, as it can get quite chilly when the sun sets.

Overall, this hiking destination is a wonderful escape into nature, providing a variety of activities and beautiful landscapes just a short drive from the city.",True
You Yangs Regional Park,5,"Just spectacular, parking, picnic areas walling trails, toilets, mountain bike trails, pet friendly, stunning views.
Must see destination if in the area, highly recommend.",True
You Yangs Regional Park,5,"Beautiful serene walking trail. We had an amazing weather and did the 1.5km walk. Not a steep climb. Easy walking for kids & adults alike. Plenty of free parking available. There is a parking ahead from the spot too which is where you can sit to eat.

There are 2 entrances to this hill. We missed the first route and ended at the second. The first one is for walking and the second route is for biking.
Thankfully one of the bikers guided us to the spot we missed.

Ensure that you carry your own food as there are no eateries for quite a distance.

Overall a beautiful trek with great views.",True
Oatley Park Trailhead,5,Perfect for hiking picnic,True
Logan Village to Yarrabilba Rail Trail,5,Awesome trail! Beautiful views and nature sounds. Walked 3.1km with family and dog. Highly recommend!,True
Logan Village to Yarrabilba Rail Trail,5,"Very nice and tranquil walk, the traffic fades into the background as the sound of nature becomes more prominent, lots of cyclists, joggers and walkers depending on the time of day you go. I’ve experienced mostly well mannered people on this trail with kind passerby greetings. Makes for a lovely walk with the kids!",True
Logan Village to Yarrabilba Rail Trail,5,Paved walking path between Logan Village and Yarrabilba. Cuts through bush land. Easy to walk through and plenty of room for shared use in both directions. Has picnic tables at certain points to rest. Also has some rubbish bins at key entrance locations. There are no parking locations nearby in Logan Village.,True
Logan Village to Yarrabilba Rail Trail,5,Fantastic addition to the area perfect for all ages and fitness levels. Some lighting options for the evening would be ideal but overall fantastic 👌,True
Logan Village to Yarrabilba Rail Trail,5,"I hear people's concerns around the track running off the back of homes and retirement villages. With all due respect to all we must not feed into fear as that is sin in itself. Be rest assured that rail trails are a good thing for the future public's health/ fitness and will have to be built with a lot of safety ground's in mind with the rail trail project, natural bushland and wildlife habitat respected and in mind and the safety of already long-term living residence around the area. If I may suggest for all retirement homes if there could be extra camera's and security put in place to help the residents feel more at peace of mind with the project and maybe if there was a large sound proof block out wall to reduce some of the size of the project and noise to help settle residence nerves may be a thought to consider. Health, family, get-togethers, fresh air, and peace of mind all can be brought together as one in this big. I myself would love to see the rail trail go ahead for a better tomorrow and healthy future. Not building these projects due to people's fears is not the answer to fixing a fast growing problem in our society nor world. It is punishing our future Young youth that want to give it a go.",True
Manea Park Walking Trail,5,It is a hidden treasure for nature lovers.  Lots of wild flowers and wild native plants.,True
Manea Park Walking Trail,5,"Beautiful walk, good distance for families, you will need mozzie spray.",True
Manea Park Walking Trail,5,This attraction/walk trails in Spring is a great way to see local wildflowers and orchids.,True
Manea Park Walking Trail,5,So peaceful..beautiful wildflowers. A limestone track makes it alot easier to walk..it takes us an hour to walk the full loop.,True
Manea Park Walking Trail,5,"Easy 2km walk, pram accessible. Beautiful scenery",True
Primrose Park Walking Track,5,"Has a little water.fall.
Many old trees.
A bit slippery on raining day.",True
Primrose Park Walking Track,5,"Short bush walk trip, around 2km from from Folly point. A lot of stairs, and at the end of the wall there is a waterfall (but much water on the day I visit)",True
Primrose Park Walking Track,4,"I’m exploring my new local area & have found enough great little walk. Steep heading down , if starting on Lambert St.",False
Primrose Park Walking Track,4,"Accessible trail around Primrose Park - great to run, although some parts are blocked off at the moment for construction work. From Folly Point, it’s possible to walk / run to Tunks Park to access the Northbridge Golfcourse trail or Flat Rock Gully trails.",False
Primrose Park Walking Track,5,Great short track and views. Shaded with steps in places. I did it from Primrose Park oval to Folly Point and back with two toddlers and holding one year old. Watch out for trees if you have said one year old on your shoulders!,True
Perimeter Trail,4,"Delightful mountain bike ride on fire trails. Few hills on the side trails, but the Perimter truck is not too bad.
Best to continue out on the Long or Cowan Trails.
Smiths Creek West side trail is very steep.
Wilkins trail is easier with nice view.",False
Perimeter Trail,5,This is my favourite mountain bike trail near where I live. They have recently upgraded the trail so rock gardens are a bit more predictable / I imagine it will start to erode again after a while and become a bit more gnarly again.  If you appreciate the perimeter tra try the Ling Trail which has a great view of Cowan Creek all the way down to the Hawkesbury.,True
Perimeter Trail,4,A nice quiet walking path in the Terry hills area. Has some steep hills and rocks but that makes it interesting! Watch out for bigger puddles after it rains as it takes a few days to dry out.,False
Perimeter Trail,5,Great trail beautiful out at the headland over Cowan bay,True
Perimeter Trail,5,"A pickled cucumber is a small or miniature cucumber that has been pickled in a brine, vinegar, or other solution and left to ferment for some time, by either immersing the cucumbers in an acidic solution or through souring by lacto-fermentation. Pickled cucumbers are often part of mixed pickles.",True
Basin Trail,5,Great spot for camping and good place to pull up with your boat. summertime a boat comes around with coffee during busy times.,True
Basin Trail,5,excellent little adventure.  not very taxing. either get their via ferry or walk in  them the service road.  camping and picnic area with toilets showers and a laundry. extremely brave estimates wallabies!,True
Basin Trail,4,Scenic trails with varying levels of difficulties. The ferry ride of the basin is also very pleasant.,False
Basin Trail,5,"The walk is short (30min), and leads to an Aboriginal art site. Car park is small but usually people use the ferry to get to the camp ground, so not too busy.",True
Basin Trail,2,"The Basin Trail is a pretty awful track for walking - it's basically a 4WD track down to the Basin camping area, and the steepest part at the end is concrete. If you're camping at the Basin, you'll need to go this way (unless you're arriving by boat or ferry). But if you're looking for a day walk, avoid this one. Try the West Head track down to West Head Beach or the Flint and Steel Track.",False
Jorgensen Park Walk Trail,5,Lovely to walk around enjoying nature in all its finest,True
Jorgensen Park Walk Trail,5,"A lovely walk
Dog friendly
Some easy tracks and some steep tracks with loose gravel and deep ruts",True
Jorgensen Park Walk Trail,4,Great off lead dog walk on an old golf course,False
Jorgensen Park Walk Trail,5,Lovely hiking experience,True
Jorgensen Park Walk Trail,5,Great place for quiet walks. Avoid weekends unless it's raining.,True
Arthurs Seat State Park,5,"A breath of fresh air right on top of the sea and mountains.  Eagles Cafe has the chair lifts, memorabilia with good pies and sausage rolls and assorted salad wraps, chicken foccassias. Skull Coffee is delicious 😋My kids love the  fresh air in their lungs post gaming. My Husband LOVES rallying up the bendy mountain in his REX 😁",True
Arthurs Seat State Park,5,"Good point for look out. They have several option for buying tickets cable car with concession option too. Open until 5.00PM. we took return option, 15 min one way and 15 min back to station on cable car. Adult ticketing price is 33 AUD and concession price is 30 AUD.",True
Arthurs Seat State Park,5,So beautiful! Highly recommend. There are so many beautiful walks here with incredible views of the bay with so many different angles. I would highly recommend to people visiting Victoria for the first time and especially the cable cars!,True
Arthurs Seat State Park,5,"A nature park developed around the region explored in the early 1800s by Willian Flinders. There is an easy walking circuit of about 1.8km, starting at the eagle cable car station and winding through a few spectacular lookouts with views of the ocean and faraway Melbourne and Dandenong. Kangaroos and birds can be spotted along the path. There is also a cycle path climbing 300m alongside the trails.
Free parking, a neat cafe, and restrooms at the cable car station are available.",True
Arthurs Seat State Park,5,Money can’t buy everything In life. We have heard this line many times before. Some 320 meters above sea level you get the feeling of being in heaven. The flat waters shimmering like a golden carpet with the sunlight spreading as he prepares to set down was magical. Except for some over excited kids 🧒 everything was just perfect. I am not complaining 😊😊😊 there were a family or two with young kids .. but they were enjoying too much.. Eagle 🦅 the Gondolas 🚠 take you right at the top … passing through Mornington suburbs you already get the vibes before reaching this peak through the winding roads ..,True
Hale Conservation Park,5,"Good park for a walk, not very challenging, suitable for the whole family. A bit of variety of the trail. Near the top you could see big rocks which my kid loved it. The car park was fully packed when we finished hiking, it was popular in the weekend afternoon. In the guidelines it says around 1.5hrs walk, it took us a bit longer, around 2 hrs. No dog is allowed in this park, fines applied.",True
Hale Conservation Park,5,Excellent walking trail as long as you don't mind a bit of uneven ground and climbing. Fabulous views and such a nice place to find some peace,True
Hale Conservation Park,5,"Update 15 May: Mosquito orchids are coming out.
Update: I notice it every time there is a flat, eroded surface near the lookout that looks like has been sheared by ice.

Well worth the effort walking the track. There is lush vegetation along the creek and gnarly trees growing from heavily folded metamorphic rocks at the top. There are wild orchids growing close to copses of flame heath and insect eating plants on shady slopes. Every turn of the path reveals a different view. There is a variety of bird, reptile and insect life; unfortunately very few stop to pose for a photo.",True
Hale Conservation Park,5,"Just visited, early spring. Stunning place, bursting into life, flowers, birds, even saw a shingleback lizard! Did the 4km walk, it has a few tricky sections but otherwise smooth walking.",True
Hale Conservation Park,5,"Great views over the surrounding valleys during most of the trail (farms and native forests) with rock promontories. With the right weather, mica looks like speckles of silver on the ground. Some beautiful large rocks along the way. Short walk (4 km) but great views.
Recommended!",True
Main Yarra Trail Kew,5,"Nov 2023 great for bike riding and walking watch out for closed walk bridges and ramps due to construction. So the you can’t do the whole trail at the moment. But nice wide trials. Plus you can walk past the Collingwood non-profit farm. I even heard a kookaburra when I was there.
Only saw one public toilet near the farm.
I would ride this again.",True
Main Yarra Trail Kew,5,Sweet path. Sundown  wattles let line the river in Winter. Path not insanely wide but wide enough in most places. A lot of bikers/walkers use it. Paths usually lined with nice trees & grass,True
Main Yarra Trail Kew,5,"Yes it's always good exercise walking or cycling  on this trail the bat's come out at night, 🐠 jump out of the water sometimes  the trail has access to south Yarra side which is a bonus :¥",True
Main Yarra Trail Kew,5,"Great bike path with hills and downward runs.  Took from city Docklands to Capital City Trail via Fitzroy North back to city.
Good scenic views.",True
Main Yarra Trail Kew,5,"Great trail for walking, cycling, running. Flat and great view along the river bank.   Enjoy the early morning ride. Will be crowded like all other trails day time weekends.",True
Hermitage Foreshore Walk,5,Beautiful walk from Nielsen Park all the way to Rose Bay. A few small and private beaches along the way. The only place where to buy some food or refreshments is at the final destination in Rose Bay. Amazing views!!,True
Hermitage Foreshore Walk,5,Hermitage Foreshore walk is an incredible way to explore the views from Vaucluse especially during sunset. Lovely easy hike with a good path. It's even more beautiful during spring. I love to go here during the afternoons until sundown and the sunset is just breathtaking. A lot of couples and groups go here to enjoy the sunset ,True
Hermitage Foreshore Walk,5,Hermitage Foreshore walk  starts Belevue st Rose Bay and finishes at Nielson Park Vaucluse. There are a number of spectacular beaches ⛱️ with amazing Sydney harbour Bridge and Sydney Opera views 😀 it started raining 🌧 so I didn't get far this time. I was going to Hermitage beach for a swim. Highly recommended 👌 👍 one of Sydney's hidden gem's,True
Hermitage Foreshore Walk,5,Great walk along the coast with amazing views on Sydney city. The walk is easy and accessible to everyone. We did it on a Sunday morning and it was perfect. It took us approximately 1 hour. We stop at the end at Shark Bay to have lunch. Think about taking some water with you.,True
Hermitage Foreshore Walk,4,"A hidden gem of a walk. Takes about 90 mins
Catch ferry to rose bay from circular Quay. The track starts at the bottom of Tivolli Avenue about a 15 minute walk from the wharf
The track is well laid out with spectacular views of Sydney harbour whilst walking past historic houses
The track ends at Robinson Park near the Watsons Bay Hotel, great for lunch or cleansing ale.",False
Headland Park Walking Track,4,"The opening times to the gates of this part of the B2M trail need to be noted as they close after dark. It's a wonderful connection to Middle Head to the Beach as it declines through the bush. The oval at the bottom has parking, toilets and water facilities.",False
Headland Park Walking Track,4,"Very cool stairs through the forest. Pass by martial warning not to look behind the fence (by a one hundred year old law it seems). With the right lighting, the path is magical. OK, the way up is rather challenging...",False
Headland Park Walking Track,5,Beautiful run track with stairs,True
Headland Park Walking Track,5,Love love love it absolutely beautiful and actually relaxing!!!,True
Headland Park Walking Track,4,It's a nice track but the stairs towards the Georges Heights might not be for everyone who wants an easy walk.,False
Harrington Forest,4,"Beautiful and unassuming views along several trails winding through Harrington Forest which are connected to different neighbourhoods and lookouts. In 2021, a Bushcare group also installed 10 painted nest boxes and created an online trail map for hikers to find while exploring. Several bird species, kangaroo, rabbits, and other wildlife like snakes can be spotted. No bins available so be sure to keep trash with you.",False
Harrington Forest,2,"Nothing special, 1 paved track with plenty of kangaroo dropping for your shoes. Throughout the walk you can still see residential areas which takes the remoteness vibe away from the walk. You’ll be able to see a bunch of kangaroos hopping across but that’s about it.",False
Harrington Forest,4,"Love this place, it’s so beautiful and perfect for a nice walk. I seen a kangaroo as well while walking. Such a beautiful atmosphere and very peaceful.",False
Harrington Forest,5,"Is a beautiful place to take a walk, go for a run or just wonder around with the dog.",True
Harrington Forest,4,Sweet....,False
Sturt Gorge River Trail Trailhead,5,"These trails are excellent for both hiking and mountain biking, offering an enjoyable experience even on winter days when snakes aren't a concern. You have the option to stay along the river or explore the uphill paths. The sound of kookaburras laughing adds to the charm, and there's a wide variety of birds to observe.",True
Sturt Gorge River Trail Trailhead,5,Hands down the best creek trail ever.  It is a trail that is rough around the edges and caution is needed in certain areas that are hard to navigate.  To do the full length of the creek trail crossings of the creek are essential and when the creek is full and flowing you will get your feet a bit wet. Great for the healthy don't need to be super fit.,True
Sturt Gorge River Trail Trailhead,5,"This is the flat entry to the gorge. The water was too high to walk to the rapids, explored some side tracks instead.
The dropstones in the tillite are from Antarctica, they were deposited before Australia broke off, opening the Southern Ocean.",True
Sturt Gorge River Trail Trailhead,4,Beautiful hidden gem good for hiking,False
Sturt Gorge River Trail Trailhead,4,"We walked this path to get to the river walk.The paths arent steep so fairly easy getting in.Just have to watch for bikes on the track too.Lots of birdlife,lizards and koalas.",False
Gardiners Creek Trail,4,Nice walk along Gardiners Creek Trail. Peaceful walk along the water. Pity about graffiti covering up Gardiners creek mural and some litter in the creek. But overall a nice place and they are making efforts to spruce up the walk- with plans to plant indigenous trees. Lovely sound of frog song in the marsh.,False
Gardiners Creek Trail,5,"I always pass through here when taking a walk, and the trail offers great views.",True
Gardiners Creek Trail,4,A very handy walking/biking path which can take you all the way to Flinders St without riding on the road! You did have to cross two roads but there are lights and one of them is automatically triggered if you're on a bike.,False
Gardiners Creek Trail,4,It was really pleasant to walk along. Yhe dog really enjoyed it.,False
Gardiners Creek Trail,5,This part of the trail passes though some impressive parkland with good facilities.  Good hop off / on point for public transport and you can spend more time on the trail rather than go back to where you started.  Seating along the way and the shared pathway is quite solid and wide.,True
Kambah Centenary Trail,5,Yeah look nice trail it was rather tranquil and very easy terrain. Saw a giant grey kangaroo lurking in the shadow of a gum tree and a few wallabies. If you go long enough you’ll get to red rock gorge lookout. Quite a beautiful scenic lookout and well worth the walk!,True
Kambah Centenary Trail,5,"I've never seen the river and feeder creeks so high and the water flow so fast as it was this week. It's a great time to get out and experience what the centenary trail has to offer. Unlike many other walks in Canberra which have become fully hidden by 'never been seen before' long grasses, thistles, etc, the paths are well defined and readily accessible.",True
Kambah Centenary Trail,5,"This is a challenging yet rewarding section of the Centary trail.  Awesome views across the river, the stone wall section was very interesting.   I recommend plenty of water and sun protection as this section was much slower than the flat sections.",True
Kambah Centenary Trail,4,Nice trail with rewarding view at the end.,False
Kambah Centenary Trail,4,"Here’s an idea, when the sign warns that due to high levels of bacteria currently present in the river, to the point you should not let it touch your skin, maybe don’t take your kids fishing there? Are they Idiots or just Australians?",False
Elouera Bushland Natural Park,5,"Beautiful walk, parked easily on Martens (I think?) street & the entrance was right there. Paved paths as points, some points were a bit slippery and muddy. Connects to part of the Great Northern Walk & you can also visit the Quarry Lookout. Nice trail, very quiet.",True
Elouera Bushland Natural Park,5,"Here the second segment of the Great North Walk (Berowra Valley National Park) starts.

I did Thornleigh --> Hornsby Heights 21km 7h45 (moving time 6h45), challenging.

When you reach the Fishpond Lookout, I suggest you keep going on the former Great North to reach the Fishpond; then go back and follow the deviation to Manor Rd.

The trail is well maintained and marked but it is a “natural” path so full of rocks and roots. You should use a trail app to be sure you're on the right way.

I found the most uneven path on my way down (pretty steep especially on the way down in Galston Gorge with a few climbing spikes as well; instead, the ways up have mainly proper steps) so I guess you should choose the route according to this.

The first segment of the way out in Hornsby Heights is not an official path and is not signaled so keep an eye on your map; however after about 300m it becomes a fire trail easy to follow.

The 596 bus brings you to the train station.

No toilets and no drinking water on the whole way.

I’m not an expert hiker and not even a sportive person but I did it, so I guess the trail is for everyone.",True
Elouera Bushland Natural Park,3,"This can be a nice short walk about 30 to 45 mins return starting from Westwood Street, Pennant Hills.

Walk to the end of Westwood St, there is a flight of stairs down towards Dale Close.At the bottom of the stars, turn left and walk to the Cul De Sac. Go into the track marked Eluoera Bushland Natural Parkon your right.

Walk past the little Creek and follow the track to the Zig Zag bridge.

Go up the steep slope and you'll see the Quarry on the right. If you are adventurous, you can climb up the steep cliff around the quarry. Otherwise go up the flight of stairs further down past the quarry.

Return to Westwood Street by retracing your steps.

For a longer walk, follow the Great North Walk track from the Zig Zag bridge towards the Jungo, formerly an aboriginal meeting place.",False
Elouera Bushland Natural Park,5,"Starting trek of the great north walk from Thornleigh end. It’s very slippery when raining, the creeks are full in water, so be careful. Wear trekking shoes.",True
Elouera Bushland Natural Park,4,Nice trail some of the paths arnt clear,False
Albert Park Walking Track,5,"If you visit to Melbourne city, taking a walk in the evening about sunset time to Albert park is a must. The views of reflection of the city on the water is amazing and the golden hour hits different. The bushes, palm trees and the ducks adds all the difference and is very relaxing and peaceful. If I lived in Melbourne I would have taken the walk everyday. Not to mention the sound of the birds above the trees is awesome and is a natural heaven. It is much much much recommended. You can also take your bike for a ride around the pond. Across the road you can see the golf field which also looks amazing and rich.",True
Albert Park Walking Track,5,Great morning walk! Don’t wear new shoes because there is an awful lot of duck droppings. Beautiful bird sightings for the average twitcher!,True
Albert Park Walking Track,5,"Very nice walking distance around the lake. Lots of parking nearby and public restrooms situated around the walk.
Plenty of ducks, swans, and other birds can be seen in and around the lake.
Perfect on a nice warm day. 👍",True
Albert Park Walking Track,5,"😍😍definitely going there for an evening walk again! Recommend to go after 7/8pm, the strong sunlight really blocked my vision…",True
Albert Park Walking Track,5,Great for a long walk. Features a variety of birds that go about their day peacefully and are fun to watch.,True
Main Yarra Trail Park,5,Love me a bike path with a climbing wall,True
Main Yarra Trail Park,5,Very nice trail,True
Florence Parade Trail,5,"If you are starting a bush walk from Grays Point, this track will take you to the Honeymoon track and down to Lady Carington",True
Florence Parade Trail,5,"I love hiking in this area, the tracks are plentiful, and you get to walk along a river (you can choose which one, depending on the track you want to follow). So far I've come back twice and still haven't explored nearly even half of the available tracks. I usually start near Grays Point public school, and there's usually plenty of car spots there, so parking is not hard. Some tracks can be easy, some can be more challenging, I think there's one that suits everyone. But unlike in the Blue Mountains for example, this one don't have the information board to help you choose the tracks on-site, so you have to research a bit using your phone (Google Maps).",True
Florence Parade Trail,5,Lots of different trail options and beautiful bush views,True
Florence Parade Trail,5,"My absolute favourite local trail run or walk when I lived in the area.  Highly recommended midweek daytime to have the entire trail to yourself.  Grays Point Road is a good parking/start/finish point for a fabulous 16km.  Give yourself 2 hours to run or 4 hours to walk.  Not even a Telstra signal from just after Engadine until half way up Honeymoon (going anticlockwise), have a survival strategy - you can run without water and first aid but not recommended for most people.  Wear safety specs if running through the tight Engadine - Audley section, check for bush fires.  Both directions have benefits so I alternate.  You will need a national parks pass if parking in the park (annual pass is best).",True
Florence Parade Trail,4,"A lovely trail to walk, but keep your eyes down, lots of loose rough patches",False
Bay Trail Park,5,"The most western point of the trail you can see the Yarra from, you walk all the way down to see the punt ferry terminal abe explore beyond. Some nice sightseeing here and you can walk right under the west gate bridge.",True
Bay Trail Park,5,"This is a little out of the way area for visitors or bikers if they want a bit of a rest. There is a seat and water fountain available. Its an open grass and trail space.

Bay Trail Park is part of Westgate Park and Bay Trail, with a few paths to access the area. It has a few little nooks for fishing, which people utilise. You can view the Yarra and passing ships, boats and water sport enthusiasts.",True
Bay Trail Park,3,"Not quite sure why people are posting 5 star reviews for this Park - it's definitely a special and unique area, but it's absolutely littered with years of industrial and household waste from either the Bridge overhead, industrial activity, park users or all of these. It would be hard to find 1 square metre of land here without garbage in it. This area is in dire need of attention by Council to be cleaned, maintained and protected far more than it is currently. However I would recommend people cycle or walk through here, a very unique corner of Melbourne.",False
Maribyrnong River Trail,5,"A great place through which one can do long walks, long runs, bird watching, rowing, cycling, dog walks, picnics and the list goes on with many other activities within the Park Precinct. The River flows swiftly along its course. This is a lovely park that has a lovely outdoor experience. It is well maintained and very well presented. Has multiple play areas for kids and outdoor gym equipment for active group. There are multiple entrances through pipemakers park , footscray park and Edgewater entrance and a couple more near Sea goddess temple.",True
Maribyrnong River Trail,4,"A convenient and easy walking trail, great to detour through the gardens. Always busy and has decent visibility. A little awkard to get to in certain locations due to having to cross chaotic main roads.",False
Maribyrnong River Trail,4,Been here a few times nice walking track good views,False
